# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Sun Feb 22 16:37:05 CET 2015
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014), MNRAS, 444, 2525 + Tang et al. (2014), MNRAS, 445, 4287
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: DECAM (ABmags)
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.00020	Y = 0.24900	[M/H] = -1.890	eta_R = 0.200	Age = 	1.2000e+10 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    DECam-u DES-g   DES-r   DES-i   DES-z   DES-Y	int_IMF	stage
	0.000200	10.0792	0.79012990	0.7887	0.6471	3.7855	3.7820	3.152	4.280	3.455	3.147	3.072	3.067	3.075	3.06754136	2
	0.000200	10.0792	0.79131293	0.7898	0.6819	3.7747	3.7043	3.065	4.237	3.398	3.054	2.962	2.946	2.949	3.06806588	2
	0.000200	10.0792	0.79213339	0.7906	0.7094	3.7664	3.6439	2.996	4.222	3.356	2.982	2.877	2.852	2.851	3.06842875	2
	0.000200	10.0792	0.79284781	0.7913	0.7388	3.7587	3.5842	2.923	4.197	3.307	2.905	2.788	2.755	2.751	3.06874418	2
	0.000200	10.0792	0.79353988	0.7919	0.7776	3.7520	3.5189	2.826	4.141	3.231	2.806	2.679	2.638	2.631	3.06904936	2
	0.000200	10.0792	0.79409003	0.7924	0.8171	3.7475	3.4619	2.727	4.079	3.148	2.706	2.572	2.526	2.517	3.06929135	2
	0.000200	10.0792	0.79446995	0.7927	0.8489	3.7449	3.4198	2.648	4.025	3.078	2.626	2.488	2.439	2.428	3.06945825	3
	0.000200	10.0792	0.79455352	0.7928	0.8564	3.7444	3.4103	2.629	4.011	3.061	2.607	2.468	2.419	2.408	3.06949496	3
	0.000200	10.0792	0.79508537	0.7933	0.9071	3.7416	3.3487	2.502	3.911	2.944	2.480	2.336	2.284	2.271	3.06972837	3
	0.000200	10.0792	0.79558605	0.7937	0.9593	3.7392	3.2872	2.372	3.804	2.822	2.349	2.202	2.147	2.133	3.06994796	3
